LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,UNEMP,TOT,PC_LF,M,1960-11,6.1,
USA,UNEMP,TOT,PC_LF,M,1960-12,6.6,
USA,UNEMP,TOT,PC_LF,M,1961-01,6.6,
USA,UNEMP,TOT,PC_LF,M,1961-02,6.9,
USA,UNEMP,TOT,PC_LF,M,1961-03,6.9,
USA,UNEMP,TOT,PC_LF,M,1961-04,7,
USA,UNEMP,TOT,PC_LF,M,1961-05,7.1,
USA,UNEMP,TOT,PC_LF,M,1961-06,6.9,
USA,UNEMP,TOT,PC_LF,M,1961-07,7,
USA,UNEMP,TOT,PC_LF,M,1961-08,6.6,
USA,UNEMP,TOT,PC_LF,M,1961-09,6.7,
USA,UNEMP,TOT,PC_LF,M,1961-10,6.5,
USA,UNEMP,TOT,PC_LF,M,1961-11,6.1,
USA,UNEMP,TOT,PC_LF,M,1961-12,6,
USA,UNEMP,TOT,PC_LF,M,1962-01,5.8,
USA,UNEMP,TOT,PC_LF,M,1962-02,5.5,
USA,UNEMP,TOT,PC_LF,M,1962-03,5.6,
USA,UNEMP,TOT,PC_LF,M,1962-04,5.6,
USA,UNEMP,TOT,PC_LF,M,1962-05,5.5,
USA,UNEMP,TOT,PC_LF,M,1962-06,5.5,
USA,UNEMP,TOT,PC_LF,M,1962-07,5.4,
USA,UNEMP,TOT,PC_LF,M,1962-08,5.7,
USA,UNEMP,TOT,PC_LF,M,1962-09,5.6,
USA,UNEMP,TOT,PC_LF,M,1962-10,5.4,
USA,UNEMP,TOT,PC_LF,M,1962-11,5.7,
USA,UNEMP,TOT,PC_LF,M,1962-12,5.5,
USA,UNEMP,TOT,PC_LF,M,1963-01,5.7,
USA,UNEMP,TOT,PC_LF,M,1963-02,5.9,
USA,UNEMP,TOT,PC_LF,M,1963-03,5.7,
USA,UNEMP,TOT,PC_LF,M,1963-04,5.7,
USA,UNEMP,TOT,PC_LF,M,1963-05,5.9,
USA,UNEMP,TOT,PC_LF,M,1963-06,5.6,
USA,UNEMP,TOT,PC_LF,M,1963-07,5.6,
USA,UNEMP,TOT,PC_LF,M,1963-08,5.4,
USA,UNEMP,TOT,PC_LF,M,1963-09,5.5,
USA,UNEMP,TOT,PC_LF,M,1963-10,5.5,
USA,UNEMP,TOT,PC_LF,M,1963-11,5.7,
USA,UNEMP,TOT,PC_LF,M,1963-12,5.5,
USA,UNEMP,TOT,PC_LF,M,1964-01,5.6,
USA,UNEMP,TOT,PC_LF,M,1964-02,5.4,
USA,UNEMP,TOT,PC_LF,M,1964-03,5.4,
USA,UNEMP,TOT,PC_LF,M,1964-04,5.3,
USA,UNEMP,TOT,PC_LF,M,1964-05,5.1,
USA,UNEMP,TOT,PC_LF,M,1964-06,5.2,
USA,UNEMP,TOT,PC_LF,M,1964-07,4.9,
USA,UNEMP,TOT,PC_LF,M,1964-08,5,
USA,UNEMP,TOT,PC_LF,M,1964-09,5.1,
USA,UNEMP,TOT,PC_LF,M,1964-10,5.1,
USA,UNEMP,TOT,PC_LF,M,1964-11,4.8,
USA,UNEMP,TOT,PC_LF,M,1964-12,5,
USA,UNEMP,TOT,PC_LF,M,1965-01,4.9,
USA,UNEMP,TOT,PC_LF,M,1965-02,5.1,
USA,UNEMP,TOT,PC_LF,M,1965-03,4.7,
USA,UNEMP,TOT,PC_LF,M,1965-04,4.8,
USA,UNEMP,TOT,PC_LF,M,1965-05,4.6,
USA,UNEMP,TOT,PC_LF,M,1965-06,4.6,
USA,UNEMP,TOT,PC_LF,M,1965-07,4.4,
USA,UNEMP,TOT,PC_LF,M,1965-08,4.4,
USA,UNEMP,TOT,PC_LF,M,1965-09,4.3,
USA,UNEMP,TOT,PC_LF,M,1965-10,4.2,
USA,UNEMP,TOT,PC_LF,M,1965-11,4.1,
USA,UNEMP,TOT,PC_LF,M,1965-12,4,
USA,UNEMP,TOT,PC_LF,M,1966-01,4,
USA,UNEMP,TOT,PC_LF,M,1966-02,3.8,
USA,UNEMP,TOT,PC_LF,M,1966-03,3.8,
USA,UNEMP,TOT,PC_LF,M,1966-04,3.8,
USA,UNEMP,TOT,PC_LF,M,1966-05,3.9,
USA,UNEMP,TOT,PC_LF,M,1966-06,3.8,
USA,UNEMP,TOT,PC_LF,M,1966-07,3.8,
USA,UNEMP,TOT,PC_LF,M,1966-08,3.8,
USA,UNEMP,TOT,PC_LF,M,1966-09,3.7,
USA,UNEMP,TOT,PC_LF,M,1966-10,3.7,
USA,UNEMP,TOT,PC_LF,M,1966-11,3.6,
USA,UNEMP,TOT,PC_LF,M,1966-12,3.8,
USA,UNEMP,TOT,PC_LF,M,1967-01,3.9,
USA,UNEMP,TOT,PC_LF,M,1967-02,3.8,
USA,UNEMP,TOT,PC_LF,M,1967-03,3.8,
USA,UNEMP,TOT,PC_LF,M,1967-04,3.8,
USA,UNEMP,TOT,PC_LF,M,1967-05,3.8,
USA,UNEMP,TOT,PC_LF,M,1967-06,3.9,
USA,UNEMP,TOT,PC_LF,M,1967-07,3.8,
USA,UNEMP,TOT,PC_LF,M,1967-08,3.8,
USA,UNEMP,TOT,PC_LF,M,1967-09,3.8,
USA,UNEMP,TOT,PC_LF,M,1967-10,4,
USA,UNEMP,TOT,PC_LF,M,1967-11,3.9,
USA,UNEMP,TOT,PC_LF,M,1967-12,3.8,
USA,UNEMP,TOT,PC_LF,M,1968-01,3.7,
USA,UNEMP,TOT,PC_LF,M,1968-02,3.8,
USA,UNEMP,TOT,PC_LF,M,1968-03,3.7,
USA,UNEMP,TOT,PC_LF,M,1968-04,3.5,
USA,UNEMP,TOT,PC_LF,M,1968-05,3.5,
USA,UNEMP,TOT,PC_LF,M,1968-06,3.7,
USA,UNEMP,TOT,PC_LF,M,1968-07,3.7,
USA,UNEMP,TOT,PC_LF,M,1968-08,3.5,
USA,UNEMP,TOT,PC_LF,M,1968-09,3.4,
USA,UNEMP,TOT,PC_LF,M,1968-10,3.4,
USA,UNEMP,TOT,PC_LF,M,1968-11,3.4,
USA,UNEMP,TOT,PC_LF,M,1968-12,3.4,
USA,UNEMP,TOT,PC_LF,M,1969-01,3.4,
USA,UNEMP,TOT,PC_LF,M,1969-02,3.4,
USA,UNEMP,TOT,PC_LF,M,1969-03,3.4,
USA,UNEMP,TOT,PC_LF,M,1969-04,3.4,
USA,UNEMP,TOT,PC_LF,M,1969-05,3.4,
USA,UNEMP,TOT,PC_LF,M,1969-06,3.5,
USA,UNEMP,TOT,PC_LF,M,1969-07,3.5,
USA,UNEMP,TOT,PC_LF,M,1969-08,3.5,
USA,UNEMP,TOT,PC_LF,M,1969-09,3.7,
USA,UNEMP,TOT,PC_LF,M,1969-10,3.7,
USA,UNEMP,TOT,PC_LF,M,1969-11,3.5,
USA,UNEMP,TOT,PC_LF,M,1969-12,3.5,
USA,UNEMP,TOT,PC_LF,M,1970-01,3.9,
USA,UNEMP,TOT,PC_LF,M,1970-02,4.2,
USA,UNEMP,TOT,PC_LF,M,1970-03,4.4,
USA,UNEMP,TOT,PC_LF,M,1970-04,4.6,
USA,UNEMP,TOT,PC_LF,M,1970-05,4.8,
USA,UNEMP,TOT,PC_LF,M,1970-06,4.9,
USA,UNEMP,TOT,PC_LF,M,1970-07,5,
USA,UNEMP,TOT,PC_LF,M,1970-08,5.1,
USA,UNEMP,TOT,PC_LF,M,1970-09,5.4,
USA,UNEMP,TOT,PC_LF,M,1970-10,5.5,
USA,UNEMP,TOT,PC_LF,M,1970-11,5.9,
USA,UNEMP,TOT,PC_LF,M,1970-12,6.1,
USA,UNEMP,TOT,PC_LF,M,1971-01,5.9,
USA,UNEMP,TOT,PC_LF,M,1971-02,5.9,
USA,UNEMP,TOT,PC_LF,M,1971-03,6,
USA,UNEMP,TOT,PC_LF,M,1971-04,5.9,
USA,UNEMP,TOT,PC_LF,M,1971-05,5.9,
USA,UNEMP,TOT,PC_LF,M,1971-06,5.9,
USA,UNEMP,TOT,PC_LF,M,1971-07,6,
USA,UNEMP,TOT,PC_LF,M,1971-08,6.1,
USA,UNEMP,TOT,PC_LF,M,1971-09,6,
USA,UNEMP,TOT,PC_LF,M,1971-10,5.8,
USA,UNEMP,TOT,PC_LF,M,1971-11,6,
USA,UNEMP,TOT,PC_LF,M,1971-12,6,
USA,UNEMP,TOT,PC_LF,M,1972-01,5.8,
USA,UNEMP,TOT,PC_LF,M,1972-02,5.7,
USA,UNEMP,TOT,PC_LF,M,1972-03,5.8,
USA,UNEMP,TOT,PC_LF,M,1972-04,5.7,
USA,UNEMP,TOT,PC_LF,M,1972-05,5.7,
USA,UNEMP,TOT,PC_LF,M,1972-06,5.7,
USA,UNEMP,TOT,PC_LF,M,1972-07,5.6,
USA,UNEMP,TOT,PC_LF,M,1972-08,5.6,
USA,UNEMP,TOT,PC_LF,M,1972-09,5.5,
USA,UNEMP,TOT,PC_LF,M,1972-10,5.6,
USA,UNEMP,TOT,PC_LF,M,1972-11,5.3,
USA,UNEMP,TOT,PC_LF,M,1972-12,5.2,
USA,UNEMP,TOT,PC_LF,M,1973-01,4.9,
USA,UNEMP,TOT,PC_LF,M,1973-02,5,
USA,UNEMP,TOT,PC_LF,M,1973-03,4.9,
USA,UNEMP,TOT,PC_LF,M,1973-04,5,
USA,UNEMP,TOT,PC_LF,M,1973-05,4.9,
USA,UNEMP,TOT,PC_LF,M,1973-06,4.9,
USA,UNEMP,TOT,PC_LF,M,1973-07,4.8,
USA,UNEMP,TOT,PC_LF,M,1973-08,4.8,
USA,UNEMP,TOT,PC_LF,M,1973-09,4.8,
USA,UNEMP,TOT,PC_LF,M,1973-10,4.6,
USA,UNEMP,TOT,PC_LF,M,1973-11,4.8,
USA,UNEMP,TOT,PC_LF,M,1973-12,4.9,
USA,UNEMP,TOT,PC_LF,M,1974-01,5.1,
USA,UNEMP,TOT,PC_LF,M,1974-02,5.2,
USA,UNEMP,TOT,PC_LF,M,1974-03,5.1,
USA,UNEMP,TOT,PC_LF,M,1974-04,5.1,
USA,UNEMP,TOT,PC_LF,M,1974-05,5.1,
USA,UNEMP,TOT,PC_LF,M,1974-06,5.4,
USA,UNEMP,TOT,PC_LF,M,1974-07,5.5,
USA,UNEMP,TOT,PC_LF,M,1974-08,5.5,
USA,UNEMP,TOT,PC_LF,M,1974-09,5.9,
USA,UNEMP,TOT,PC_LF,M,1974-10,6,
USA,UNEMP,TOT,PC_LF,M,1974-11,6.6,
USA,UNEMP,TOT,PC_LF,M,1974-12,7.2,
USA,UNEMP,TOT,PC_LF,M,1975-01,8.1,
USA,UNEMP,TOT,PC_LF,M,1975-02,8.1,
USA,UNEMP,TOT,PC_LF,M,1975-03,8.6,
USA,UNEMP,TOT,PC_LF,M,1975-04,8.8,
USA,UNEMP,TOT,PC_LF,M,1975-05,9,
USA,UNEMP,TOT,PC_LF,M,1975-06,8.8,
USA,UNEMP,TOT,PC_LF,M,1975-07,8.6,
USA,UNEMP,TOT,PC_LF,M,1975-08,8.4,
USA,UNEMP,TOT,PC_LF,M,1975-09,8.4,
USA,UNEMP,TOT,PC_LF,M,1975-10,8.4,
USA,UNEMP,TOT,PC_LF,M,1975-11,8.3,
USA,UNEMP,TOT,PC_LF,M,1975-12,8.2,
USA,UNEMP,TOT,PC_LF,M,1976-01,7.9,
USA,UNEMP,TOT,PC_LF,M,1976-02,7.7,
USA,UNEMP,TOT,PC_LF,M,1976-03,7.6,
USA,UNEMP,TOT,PC_LF,M,1976-04,7.7,
USA,UNEMP,TOT,PC_LF,M,1976-05,7.4,
USA,UNEMP,TOT,PC_LF,M,1976-06,7.6,
USA,UNEMP,TOT,PC_LF,M,1976-07,7.8,
USA,UNEMP,TOT,PC_LF,M,1976-08,7.8,
USA,UNEMP,TOT,PC_LF,M,1976-09,7.6,
USA,UNEMP,TOT,PC_LF,M,1976-10,7.7,
USA,UNEMP,TOT,PC_LF,M,1976-11,7.8,
USA,UNEMP,TOT,PC_LF,M,1976-12,7.8,
USA,UNEMP,TOT,PC_LF,M,1977-01,7.5,
USA,UNEMP,TOT,PC_LF,M,1977-02,7.6,
USA,UNEMP,TOT,PC_LF,M,1977-03,7.4,
USA,UNEMP,TOT,PC_LF,M,1977-04,7.2,
USA,UNEMP,TOT,PC_LF,M,1977-05,7,
USA,UNEMP,TOT,PC_LF,M,1977-06,7.2,
USA,UNEMP,TOT,PC_LF,M,1977-07,6.9,
USA,UNEMP,TOT,PC_LF,M,1977-08,7,
USA,UNEMP,TOT,PC_LF,M,1977-09,6.8,
USA,UNEMP,TOT,PC_LF,M,1977-10,6.8,
USA,UNEMP,TOT,PC_LF,M,1977-11,6.8,
USA,UNEMP,TOT,PC_LF,M,1977-12,6.4,
USA,UNEMP,TOT,PC_LF,M,1978-01,6.4,
USA,UNEMP,TOT,PC_LF,M,1978-02,6.3,
USA,UNEMP,TOT,PC_LF,M,1978-03,6.3,
USA,UNEMP,TOT,PC_LF,M,1978-04,6.1,
USA,UNEMP,TOT,PC_LF,M,1978-05,6,
USA,UNEMP,TOT,PC_LF,M,1978-06,5.9,
USA,UNEMP,TOT,PC_LF,M,1978-07,6.2,
USA,UNEMP,TOT,PC_LF,M,1978-08,5.9,
USA,UNEMP,TOT,PC_LF,M,1978-09,6,
USA,UNEMP,TOT,PC_LF,M,1978-10,5.8,
USA,UNEMP,TOT,PC_LF,M,1978-11,5.9,
USA,UNEMP,TOT,PC_LF,M,1978-12,6,
USA,UNEMP,TOT,PC_LF,M,1979-01,5.9,
USA,UNEMP,TOT,PC_LF,M,1979-02,5.9,
USA,UNEMP,TOT,PC_LF,M,1979-03,5.8,
USA,UNEMP,TOT,PC_LF,M,1979-04,5.8,
USA,UNEMP,TOT,PC_LF,M,1979-05,5.6,
USA,UNEMP,TOT,PC_LF,M,1979-06,5.7,
USA,UNEMP,TOT,PC_LF,M,1979-07,5.7,
USA,UNEMP,TOT,PC_LF,M,1979-08,6,
USA,UNEMP,TOT,PC_LF,M,1979-09,5.9,
USA,UNEMP,TOT,PC_LF,M,1979-10,6,
USA,UNEMP,TOT,PC_LF,M,1979-11,5.9,
USA,UNEMP,TOT,PC_LF,M,1979-12,6,
USA,UNEMP,TOT,PC_LF,M,1980-01,6.3,
USA,UNEMP,TOT,PC_LF,M,1980-02,6.3,
USA,UNEMP,TOT,PC_LF,M,1980-03,6.3,
USA,UNEMP,TOT,PC_LF,M,1980-04,6.9,
USA,UNEMP,TOT,PC_LF,M,1980-05,7.5,
USA,UNEMP,TOT,PC_LF,M,1980-06,7.6,
USA,UNEMP,TOT,PC_LF,M,1980-07,7.8,
USA,UNEMP,TOT,PC_LF,M,1980-08,7.7,
USA,UNEMP,TOT,PC_LF,M,1980-09,7.5,
USA,UNEMP,TOT,PC_LF,M,1980-10,7.5,
USA,UNEMP,TOT,PC_LF,M,1980-11,7.5,
USA,UNEMP,TOT,PC_LF,M,1980-12,7.2,
USA,UNEMP,TOT,PC_LF,M,1981-01,7.5,
USA,UNEMP,TOT,PC_LF,M,1981-02,7.4,
USA,UNEMP,TOT,PC_LF,M,1981-03,7.4,
USA,UNEMP,TOT,PC_LF,M,1981-04,7.2,
USA,UNEMP,TOT,PC_LF,M,1981-05,7.5,
USA,UNEMP,TOT,PC_LF,M,1981-06,7.5,
USA,UNEMP,TOT,PC_LF,M,1981-07,7.2,
USA,UNEMP,TOT,PC_LF,M,1981-08,7.4,
USA,UNEMP,TOT,PC_LF,M,1981-09,7.6,
USA,UNEMP,TOT,PC_LF,M,1981-10,7.9,
USA,UNEMP,TOT,PC_LF,M,1981-11,8.3,
USA,UNEMP,TOT,PC_LF,M,1981-12,8.5,
USA,UNEMP,TOT,PC_LF,M,1982-01,8.6,
USA,UNEMP,TOT,PC_LF,M,1982-02,8.9,
USA,UNEMP,TOT,PC_LF,M,1982-03,9,
USA,UNEMP,TOT,PC_LF,M,1982-04,9.3,
USA,UNEMP,TOT,PC_LF,M,1982-05,9.4,
USA,UNEMP,TOT,PC_LF,M,1982-06,9.6,
USA,UNEMP,TOT,PC_LF,M,1982-07,9.8,
USA,UNEMP,TOT,PC_LF,M,1982-08,9.8,
USA,UNEMP,TOT,PC_LF,M,1982-09,10.1,
USA,UNEMP,TOT,PC_LF,M,1982-10,10.4,
USA,UNEMP,TOT,PC_LF,M,1982-11,10.8,
USA,UNEMP,TOT,PC_LF,M,1982-12,10.8,
USA,UNEMP,TOT,PC_LF,M,1983-01,10.4,
USA,UNEMP,TOT,PC_LF,M,1983-02,10.4,
USA,UNEMP,TOT,PC_LF,M,1983-03,10.3,
USA,UNEMP,TOT,PC_LF,M,1983-04,10.2,
USA,UNEMP,TOT,PC_LF,M,1983-05,10.1,
USA,UNEMP,TOT,PC_LF,M,1983-06,10.1,
USA,UNEMP,TOT,PC_LF,M,1983-07,9.4,
USA,UNEMP,TOT,PC_LF,M,1983-08,9.5,
USA,UNEMP,TOT,PC_LF,M,1983-09,9.2,
USA,UNEMP,TOT,PC_LF,M,1983-10,8.8,
USA,UNEMP,TOT,PC_LF,M,1983-11,8.5,
USA,UNEMP,TOT,PC_LF,M,1983-12,8.3,
USA,UNEMP,TOT,PC_LF,M,1984-01,8,
USA,UNEMP,TOT,PC_LF,M,1984-02,7.8,
USA,UNEMP,TOT,PC_LF,M,1984-03,7.8,
USA,UNEMP,TOT,PC_LF,M,1984-04,7.7,
USA,UNEMP,TOT,PC_LF,M,1984-05,7.4,
USA,UNEMP,TOT,PC_LF,M,1984-06,7.2,
USA,UNEMP,TOT,PC_LF,M,1984-07,7.5,
USA,UNEMP,TOT,PC_LF,M,1984-08,7.5,
USA,UNEMP,TOT,PC_LF,M,1984-09,7.3,
USA,UNEMP,TOT,PC_LF,M,1984-10,7.4,
USA,UNEMP,TOT,PC_LF,M,1984-11,7.2,
USA,UNEMP,TOT,PC_LF,M,1984-12,7.3,
USA,UNEMP,TOT,PC_LF,M,1985-01,7.3,
USA,UNEMP,TOT,PC_LF,M,1985-02,7.2,
USA,UNEMP,TOT,PC_LF,M,1985-03,7.2,
USA,UNEMP,TOT,PC_LF,M,1985-04,7.3,
USA,UNEMP,TOT,PC_LF,M,1985-05,7.2,
USA,UNEMP,TOT,PC_LF,M,1985-06,7.4,
USA,UNEMP,TOT,PC_LF,M,1985-07,7.4,
USA,UNEMP,TOT,PC_LF,M,1985-08,7.1,
USA,UNEMP,TOT,PC_LF,M,1985-09,7.1,
USA,UNEMP,TOT,PC_LF,M,1985-10,7.1,
USA,UNEMP,TOT,PC_LF,M,1985-11,7,
USA,UNEMP,TOT,PC_LF,M,1985-12,7,
USA,UNEMP,TOT,PC_LF,M,1986-01,6.7,
USA,UNEMP,TOT,PC_LF,M,1986-02,7.2,
USA,UNEMP,TOT,PC_LF,M,1986-03,7.2,
USA,UNEMP,TOT,PC_LF,M,1986-04,7.1,
USA,UNEMP,TOT,PC_LF,M,1986-05,7.2,
USA,UNEMP,TOT,PC_LF,M,1986-06,7.2,
USA,UNEMP,TOT,PC_LF,M,1986-07,7,
USA,UNEMP,TOT,PC_LF,M,1986-08,6.9,
USA,UNEMP,TOT,PC_LF,M,1986-09,7,
USA,UNEMP,TOT,PC_LF,M,1986-10,7,
USA,UNEMP,TOT,PC_LF,M,1986-11,6.9,
USA,UNEMP,TOT,PC_LF,M,1986-12,6.6,
USA,UNEMP,TOT,PC_LF,M,1987-01,6.6,
USA,UNEMP,TOT,PC_LF,M,1987-02,6.6,
USA,UNEMP,TOT,PC_LF,M,1987-03,6.6,
USA,UNEMP,TOT,PC_LF,M,1987-04,6.3,
USA,UNEMP,TOT,PC_LF,M,1987-05,6.3,
USA,UNEMP,TOT,PC_LF,M,1987-06,6.2,
USA,UNEMP,TOT,PC_LF,M,1987-07,6.1,
USA,UNEMP,TOT,PC_LF,M,1987-08,6,
USA,UNEMP,TOT,PC_LF,M,1987-09,5.9,
USA,UNEMP,TOT,PC_LF,M,1987-10,6,
USA,UNEMP,TOT,PC_LF,M,1987-11,5.8,
USA,UNEMP,TOT,PC_LF,M,1987-12,5.7,
USA,UNEMP,TOT,PC_LF,M,1988-01,5.7,
USA,UNEMP,TOT,PC_LF,M,1988-02,5.7,
USA,UNEMP,TOT,PC_LF,M,1988-03,5.7,
USA,UNEMP,TOT,PC_LF,M,1988-04,5.4,
USA,UNEMP,TOT,PC_LF,M,1988-05,5.6,
USA,UNEMP,TOT,PC_LF,M,1988-06,5.4,
USA,UNEMP,TOT,PC_LF,M,1988-07,5.4,
USA,UNEMP,TOT,PC_LF,M,1988-08,5.6,
USA,UNEMP,TOT,PC_LF,M,1988-09,5.4,
USA,UNEMP,TOT,PC_LF,M,1988-10,5.4,
USA,UNEMP,TOT,PC_LF,M,1988-11,5.3,
USA,UNEMP,TOT,PC_LF,M,1988-12,5.3,
USA,UNEMP,TOT,PC_LF,M,1989-01,5.4,
USA,UNEMP,TOT,PC_LF,M,1989-02,5.2,
USA,UNEMP,TOT,PC_LF,M,1989-03,5,
USA,UNEMP,TOT,PC_LF,M,1989-04,5.2,
USA,UNEMP,TOT,PC_LF,M,1989-05,5.2,
USA,UNEMP,TOT,PC_LF,M,1989-06,5.3,
USA,UNEMP,TOT,PC_LF,M,1989-07,5.2,
USA,UNEMP,TOT,PC_LF,M,1989-08,5.2,
USA,UNEMP,TOT,PC_LF,M,1989-09,5.3,
USA,UNEMP,TOT,PC_LF,M,1989-10,5.3,
USA,UNEMP,TOT,PC_LF,M,1989-11,5.4,
USA,UNEMP,TOT,PC_LF,M,1989-12,5.4,
USA,UNEMP,TOT,PC_LF,M,1990-01,5.4,
USA,UNEMP,TOT,PC_LF,M,1990-02,5.3,
USA,UNEMP,TOT,PC_LF,M,1990-03,5.2,
USA,UNEMP,TOT,PC_LF,M,1990-04,5.4,
USA,UNEMP,TOT,PC_LF,M,1990-05,5.4,
USA,UNEMP,TOT,PC_LF,M,1990-06,5.2,
USA,UNEMP,TOT,PC_LF,M,1990-07,5.5,
USA,UNEMP,TOT,PC_LF,M,1990-08,5.7,
USA,UNEMP,TOT,PC_LF,M,1990-09,5.9,
USA,UNEMP,TOT,PC_LF,M,1990-10,5.9,
USA,UNEMP,TOT,PC_LF,M,1990-11,6.2,
USA,UNEMP,TOT,PC_LF,M,1990-12,6.3,
USA,UNEMP,TOT,PC_LF,M,1991-01,6.4,
USA,UNEMP,TOT,PC_LF,M,1991-02,6.6,
USA,UNEMP,TOT,PC_LF,M,1991-03,6.8,
USA,UNEMP,TOT,PC_LF,M,1991-04,6.7,
USA,UNEMP,TOT,PC_LF,M,1991-05,6.9,
USA,UNEMP,TOT,PC_LF,M,1991-06,6.9,
USA,UNEMP,TOT,PC_LF,M,1991-07,6.8,
USA,UNEMP,TOT,PC_LF,M,1991-08,6.9,
USA,UNEMP,TOT,PC_LF,M,1991-09,6.9,
USA,UNEMP,TOT,PC_LF,M,1991-10,7,
USA,UNEMP,TOT,PC_LF,M,1991-11,7,
USA,UNEMP,TOT,PC_LF,M,1991-12,7.3,
USA,UNEMP,TOT,PC_LF,M,1992-01,7.3,
USA,UNEMP,TOT,PC_LF,M,1992-02,7.4,
USA,UNEMP,TOT,PC_LF,M,1992-03,7.4,
USA,UNEMP,TOT,PC_LF,M,1992-04,7.4,
USA,UNEMP,TOT,PC_LF,M,1992-05,7.6,
USA,UNEMP,TOT,PC_LF,M,1992-06,7.8,
USA,UNEMP,TOT,PC_LF,M,1992-07,7.7,
